YEAR,NAME,ROA,ROE,CTV, SIZE ,TANG,AG,DEPOSIT,LOAN,INF,GDP
" 2,018 ",TCB, 0.029 , 0.215 , 0.839 ,-0.076 , 0.005 , 0.192 , 0.669 , 0.491 , 0.035 , 0.075 
" 2,019 ",TCB, 0.029 , 0.180 , 0.838 ,-0.077 , 0.008 , 0.195 , 0.648 , 0.594 , 0.028 , 0.074 
" 2,020 ",TCB, 0.031 , 0.184 , 0.830 ,-0.081 , 0.010 , 0.146 , 0.695 , 0.626 , 0.032 , 0.029 
" 2,021 ",TCB, 0.037 , 0.220 , 0.836 ,-0.078 , 0.013 , 0.294 , 0.613 , 0.604 , 0.018 , 0.026 
" 2,022 ",TCB, 0.032 , 0.198 , 0.838 ,-0.077 , 0.012 , 0.229 , 0.561 , 0.595 , 0.032 , 0.081 
" 2,023 ",TCB, 0.023 , 0.148 , 0.845 ,-0.073 , 0.010 , 0.215 , 0.635 , 0.603 , 0.033 , 0.050 
" 2,024 ",TCB, 0.024 , 0.156 , 0.849 ,-0.071 , 0.013 , 0.152 , 0.688 , 0.637 , 0.036 , 0.071 
" 2,014 ",TPB, 0.013 , 0.135 , 0.918 ,-0.037 , 0.002 , 0.604 , 0.420 , 0.382 , 0.041 , 0.064 
" 2,015 ",TPB, 0.009 , 0.124 , 0.937 ,-0.028 , 0.002 , 0.481 , 0.518 , 0.367 , 0.006 , 0.070 
" 2,016 ",TPB, 0.006 , 0.108 , 0.946 ,-0.024 , 0.001 , 0.388 , 0.521 , 0.437 , 0.027 , 0.067 
" 2,017 ",TPB, 0.008 , 0.156 , 0.946 ,-0.024 , 0.002 , 0.173 , 0.594 , 0.506 , 0.035 , 0.069 
" 2,018 ",TPB, 0.014 , 0.209 , 0.922 ,-0.035 , 0.002 , 0.097 , 0.623 , 0.560 , 0.035 , 0.075 
" 2,019 ",TPB, 0.021 , 0.261 , 0.920 ,-0.036 , 0.003 , 0.208 , 0.650 , 0.574 , 0.028 , 0.074 
" 2,020 ",TPB, 0.019 , 0.235 , 0.919 ,-0.037 , 0.003 , 0.255 , 0.695 , 0.572 , 0.032 , 0.029 
" 2,021 ",TPB, 0.019 , 0.226 , 0.911 ,-0.040 , 0.003 , 0.419 , 0.598 , 0.476 , 0.018 , 0.026 
" 2,022 ",TPB, 0.020 , 0.215 , 0.902 ,-0.045 , 0.004 , 0.122 , 0.655 , 0.484 , 0.032 , 0.081 
" 2,023 ",TPB, 0.013 , 0.137 , 0.908 ,-0.042 , 0.003 , 0.085 , 0.652 , 0.568 , 0.033 , 0.050 
" 2,024 ",TPB, 0.016 , 0.173 , 0.910 ,-0.041 , 0.003 , 0.172 , 0.668 , 0.591 , 0.036 , 0.071 
" 2,014 ",VAB, 0.002 , 0.013 , 0.898 ,-0.047 , 0.006 , 0.317 , 0.556 , 0.439 , 0.041 , 0.064 
" 2,015 ",VAB, 0.002 , 0.022 , 0.906 ,-0.043 , 0.007 , 0.177 , 0.584 , 0.479 , 0.006 , 0.070 
" 2,016 ",VAB, 0.002 , 0.025 , 0.935 ,-0.029 , 0.004 , 0.468 , 0.535 , 0.488 , 0.027 , 0.067 
" 2,017 ",VAB, 0.002 , 0.024 , 0.936 ,-0.029 , 0.003 , 0.048 , 0.567 , 0.526 , 0.035 , 0.069 
" 2,018 ",VAB, 0.002 , 0.028 , 0.941 ,-0.027 , 0.003 , 0.106 , 0.604 , 0.526 , 0.035 , 0.075 
" 2,019 ",VAB, 0.003 , 0.048 , 0.942 ,-0.026 , 0.003 , 0.072 , 0.637 , 0.551 , 0.028 , 0.074 
" 2,020 ",VAB, 0.004 , 0.065 , 0.934 ,-0.030 , 0.002 , 0.132 , 0.701 , 0.553 , 0.032 , 0.029 
" 2,021 ",VAB, 0.007 , 0.108 , 0.937 ,-0.028 , 0.002 , 0.168 , 0.689 , 0.533 , 0.018 , 0.026 
" 2,022 ",VAB, 0.009 , 0.131 , 0.931 ,-0.031 , 0.002 , 0.041 , 0.669 , 0.588 , 0.032 , 0.081 
" 2,023 ",VAB, 0.007 , 0.098 , 0.929 ,-0.032 , 0.002 , 0.067 , 0.777 , 0.609 , 0.033 , 0.050 
" 2,024 ",VAB, 0.007 , 0.103 , 0.926 ,-0.033 , 0.002 , 0.068 , 0.771 , 0.661 , 0.036 , 0.071 
" 2,014 ",VBB, 0.006 , 0.082 ,,,,-1.000 ,,, 0.041 , 0.064 
" 2,015 ",VBB, 0.001 , 0.012 , 0.917 ,-0.038 , 0.018 ,, 0.787 , 0.662 , 0.006 , 0.070 
" 2,016 ",VBB,-0.004 ,-0.043 , 0.916 ,-0.038 , 0.017 , 0.111 , 0.822 , 0.711 , 0.027 , 0.067 
" 2,017 ",VBB, 0.002 , 0.021 , 0.920 ,-0.036 , 0.014 , 0.132 , 0.754 , 0.685 , 0.035 , 0.069 
" 2,018 ",VBB, 0.006 , 0.067 , 0.913 ,-0.040 , 0.011 , 0.244 , 0.791 , 0.681 , 0.035 , 0.075 
" 2,019 ",VBB, 0.005 , 0.068 , 0.927 ,-0.033 , 0.011 , 0.334 , 0.754 , 0.589 , 0.028 , 0.074 
" 2,020 ",VBB, 0.006 , 0.094 , 0.942 ,-0.026 , 0.009 , 0.328 , 0.760 , 0.485 , 0.032 , 0.029 
" 2,021 ",VBB, 0.003 , 0.054 , 0.944 ,-0.025 , 0.008 , 0.130 , 0.720 , 0.480 , 0.018 , 0.026 
" 2,022 ",VBB, 0.005 , 0.084 , 0.944 ,-0.025 , 0.008 , 0.077 , 0.729 , 0.566 , 0.032 , 0.081 
" 2,023 ",VBB, 0.004 , 0.079 , 0.950 ,-0.022 , 0.006 , 0.242 , 0.734 , 0.578 , 0.033 , 0.050 
" 2,024 ",VBB, 0.004 , 0.083 , 0.947 ,-0.024 , 0.004 , 0.178 , 0.691 , 0.568 , 0.036 , 0.071 
" 2,014 ",VCB, 0.008 , 0.102 , 0.925 ,-0.034 , 0.008 , 0.230 , 0.736 , 0.548 , 0.041 , 0.064 
" 2,015 ",VCB, 0.007 , 0.103 , 0.933 ,-0.030 , 0.007 , 0.169 , 0.746 , 0.561 , 0.006 , 0.070 
" 2,016 ",VCB, 0.007 , 0.114 , 0.939 ,-0.027 , 0.007 , 0.168 , 0.762 , 0.575 , 0.027 , 0.067 
" 2,017 ",VCB, 0.008 , 0.136 , 0.949 ,-0.023 , 0.006 , 0.314 , 0.702 , 0.517 , 0.035 , 0.069 
" 2,018 ",VCB, 0.009 , 0.159 , 0.942 ,-0.026 , 0.006 , 0.037 , 0.767 , 0.579 , 0.035 , 0.075 
" 2,019 ",VCB, 0.013 , 0.204 , 0.934 ,-0.030 , 0.005 , 0.138 , 0.777 , 0.592 , 0.028 , 0.074 
" 2,020 ",VCB, 0.015 , 0.212 , 0.929 ,-0.032 , 0.006 , 0.085 , 0.794 , 0.619 , 0.032 , 0.029 
" 2,021 ",VCB, 0.013 , 0.182 , 0.923 ,-0.035 , 0.006 , 0.067 , 0.815 , 0.661 , 0.018 , 0.026 
" 2,022 ",VCB, 0.014 , 0.180 , 0.925 ,-0.034 , 0.004 , 0.282 , 0.700 , 0.618 , 0.032 , 0.081 
" 2,023 ",VCB, 0.016 , 0.199 , 0.910 ,-0.041 , 0.004 , 0.014 , 0.770 , 0.675 , 0.033 , 0.050 
" 2,024 ",VCB, 0.017 , 0.183 , 0.906 ,-0.043 , 0.004 , 0.134 , 0.738 , 0.680 , 0.036 , 0.071 
" 2,014 ",VIB, 0.001 , 0.006 , 0.895 ,-0.048 , 0.005 , 0.049 , 0.608 , 0.462 , 0.041 , 0.064 
" 2,015 ",VIB, 0.006 , 0.061 , 0.898 ,-0.047 , 0.005 , 0.045 , 0.632 , 0.558 , 0.006 , 0.070 
" 2,016 ",VIB, 0.006 , 0.060 , 0.916 ,-0.038 , 0.004 , 0.240 , 0.586 , 0.566 , 0.027 , 0.067 
" 2,017 ",VIB, 0.005 , 0.064 , 0.929 ,-0.032 , 0.003 , 0.178 , 0.629 , 0.641 , 0.035 , 0.069 
" 2,018 ",VIB, 0.009 , 0.116 , 0.923 ,-0.035 , 0.003 , 0.130 , 0.683 , 0.685 , 0.035 , 0.075 
" 2,019 ",VIB, 0.014 , 0.182 , 0.927 ,-0.033 , 0.002 , 0.326 , 0.756 , 0.693 , 0.028 , 0.074 
" 2,020 ",VIB, 0.015 , 0.208 , 0.927 ,-0.033 , 0.002 , 0.326 , 0.731 , 0.686 , 0.032 , 0.029 
" 2,021 ",VIB, 0.017 , 0.220 , 0.922 ,-0.035 , 0.002 , 0.265 , 0.697 , 0.643 , 0.018 , 0.026 
" 2,022 ",VIB, 0.020 , 0.225 , 0.905 ,-0.043 , 0.002 , 0.108 , 0.676 , 0.668 , 0.032 , 0.081 
" 2,023 ",VIB, 0.023 , 0.240 , 0.907 ,-0.042 , 0.002 , 0.196 , 0.635 , 0.639 , 0.033 , 0.050 
" 2,024 ",VIB, 0.019 , 0.215 , 0.915 ,-0.039 , 0.002 , 0.203 , 0.607 , 0.645 , 0.036 , 0.071 
" 2,014 ",VPB, 0.007 , 0.122 , 0.945 ,-0.025 , 0.004 , 0.346 , 0.740 , 0.473 , 0.041 , 0.064 
" 2,015 ",VPB, 0.007 , 0.112 , 0.931 ,-0.031 , 0.003 , 0.188 , 0.785 , 0.593 , 0.006 , 0.070 
" 2,016 ",VPB, 0.011 , 0.157 , 0.925 ,-0.034 , 0.003 , 0.180 , 0.754 , 0.623 , 0.027 , 0.067 
" 2,017 ",VPB, 0.016 , 0.168 , 0.893 ,-0.049 , 0.003 , 0.214 , 0.719 , 0.646 , 0.035 , 0.069 
" 2,018 ",VPB, 0.021 , 0.200 , 0.893 ,-0.049 , 0.006 , 0.164 , 0.679 , 0.676 , 0.035 , 0.075 
" 2,019 ",VPB, 0.021 , 0.191 , 0.888 ,-0.052 , 0.005 , 0.167 , 0.720 , 0.671 , 0.028 , 0.074 
" 2,020 ",VPB, 0.021 , 0.174 , 0.874 ,-0.058 , 0.004 , 0.111 , 0.707 , 0.683 , 0.032 , 0.029 
" 2,021 ",VPB, 0.022 , 0.150 , 0.842 ,-0.074 , 0.003 , 0.306 , 0.590 , 0.631 , 0.018 , 0.026 
" 2,022 ",VPB, 0.019 , 0.121 , 0.836 ,-0.078 , 0.003 , 0.153 , 0.581 , 0.673 , 0.032 , 0.081 
" 2,023 ",VPB, 0.023 , 0.139 , 0.829 ,-0.081 , 0.002 , 0.296 , 0.600 , 0.675 , 0.033 , 0.050 
" 2,024 ",VPB, 0.010 , 0.059 , 0.841 ,-0.075 , 0.002 , 0.130 , 0.598 , 0.732 , 0.036 , 0.071 
,,,,,,,,,,,
